           8 effective RAM needed for the factorization           0 Mb
          32 effective RAM needed for the factorization           0 Mb
          50 effective RAM needed for the factorization           0 Mb
         128 effective RAM needed for the factorization           0 Mb
         242 effective RAM needed for the factorization           0 Mb
         512 effective RAM needed for the factorization           0 Mb
         968 effective RAM needed for the factorization           1 Mb
        2048 effective RAM needed for the factorization           2 Mb
        4050 effective RAM needed for the factorization           3 Mb
        8192 effective RAM needed for the factorization           7 Mb
       16200 effective RAM needed for the factorization          14 Mb
       32768 effective RAM needed for the factorization          32 Mb
       65522 effective RAM needed for the factorization          67 Mb
      131072 effective RAM needed for the factorization         145 Mb
      262088 effective RAM needed for the factorization         302 Mb
      524288 effective RAM needed for the factorization         652 Mb
     1048352 effective RAM needed for the factorization        1354 Mb
     2097152 effective RAM needed for the factorization        2882 Mb
     4193408 effective RAM needed for the factorization        6027 Mb
